기업,PER,PBR,company_code
HD현대일렉트릭,53.61,10.59,267260
레인보우로보틱스,483.99,47.04,277810
이오테크닉스,36.23,5.18,039030
에이비엘바이오,370.15,17.04,298380
제룡전기,79.28,13.97,033100
디아이티,58.07,3.03,110990
한미반도체,145.37,34.06,042700
HLB이노베이션,15.17,5.84,024850
LG생활건강,26.61,1.03,051900
현대백화점,7.71,0.24,069960
오리온홀딩스,8.27,0.39,001800
와이씨,37.34,3.29,232140
삼화전기,29.36,4.62,009470
더존비즈온,79.29,3.5,012510
코스모신소재,164.93,18.35,005070
에코앤드림,6378.57,5.85,101360
세아제강,2.39,0.46,306200
석경에이티,76.92,11.07,357550
엔켐,199.08,15.79,348370
코웨이,8.85,1.75,021240
코미코,19.94,3.24,183300
유진테크,31.11,3.62,084370
한양디지텍,9.79,3.0,078350
파마리서치,27.86,3.29,214450
태웅,844.44,0.95,044490
비즈니스온,29.84,4.79,138580
대덕전자,6.47,1.34,353200
에코마케팅,11.95,2.39,230360
휴젤,42.92,3.08,145020
한화에어로스페이스,60.8,4.26,012450
대한제강,2.1,0.36,084010
디아이,33.56,3.24,003160
샘씨엔에스,25.28,3.4,252990
미래에셋생명,11.84,0.51,085620
한일시멘트,11.23,0.61,300720
에스티팜,90.28,4.81,237690
동양생명,11.26,0.44,082640
삼성화재,9.95,1.08,000810
현대건설,9.57,0.5,000720
아이센스,32.41,1.83,099190
애경산업,32.04,1.48,018250
대우건설,3.0,0.41,047040
LG이노텍,5.13,1.18,011070
신세계,3.97,0.39,004170
롯데칠성,9.97,0.85,005300
파크시스템스,36.72,8.61,140860
피에스케이홀딩스,23.34,3.34,031980
솔브레인,13.76,2.87,357780
케이아이엔엑스,17.19,2.99,093320
LG화학,15.76,0.84,051910
SK가스,5.77,0.63,018670
아난티,16.89,1.04,025980
HD현대건설기계,8.64,0.66,267270
클리오,54.2,2.91,237880
피에스케이,11.29,2.47,319660
네패스,5.2,1.62,033640
제주은행,24.86,0.97,006220
STX중공업,33.31,2.45,071970
롯데웰푸드,21.93,0.59,280360
리노공업,33.32,7.73,058470
세경하이테크,21.2,2.02,148150
브이엠,12.81,3.01,089970
기아,8.64,1.19,000270
에스엠,24.34,2.8,041510
제이브이엠,22.59,2.25,054950
대한전선,75.0,1.93,001440
사조대림,3.84,0.55,003960
코스메카코리아,142.97,2.59,241710
에이디테크놀로지,87.33,3.13,200710
영원무역홀딩스,2.19,0.47,009970
F&F,5.54,2.65,383220
